Statistical profiling result from isolate-0x128008000-67216-v8.log, (8257 ticks, 6748 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%          /opt/homebrew/Cellar/node/21.6.2_1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/kareem/index.js:190:29
      1    0.0%    0.0%  JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/fontkit/dist/main.cjs:1:1
      1    0.0%    0.0%  JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/compromise/builds/three/compromise-three.cjs:1:203110
      1    0.0%    0.0%  JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/compromise/builds/three/compromise-three.cjs:1:1
      1    0.0%    0.0%  JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/bullmq/dist/cjs/classes/worker.js:157:59
      1    0.0%    0.0%  JS: ~<anonymous> /Users/richardwilding/code/cc-vf/dist-server/app.js:1:1
      1    0.0%    0.0%  JS: ^write node:buffer:624:12
      1    0.0%    0.0%  JS: ^trySelf node:internal/modules/cjs/loader:544:17
      1    0.0%    0.0%  JS: ^setUnrefTimeout node:internal/timers:384:25
      1    0.0%    0.0%  JS: ^render /Users/richardwilding/code/cc-vf/node_modules/yahoo-finance2/node_modules/ajv/dist/compile/codegen/index.js:199:11
      1    0.0%    0.0%  JS: ^processIncomingData /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/message_stream.js:84:29
      1    0.0%    0.0%  JS: ^populateSupertypeList /Users/richardwilding/code/cc-vf/node_modules/ast-types/lib/types.js:723:35
      1    0.0%    0.0%  JS: ^parseSimpleNumbers /Users/richardwilding/code/cc-vf/node_modules/redis-parser/lib/parser.js:20:29
      1    0.0%    0.0%  JS: ^parentIds /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:880:273
      1    0.0%    0.0%  JS: ^optimizeNodes /Users/richardwilding/code/cc-vf/node_modules/yahoo-finance2/node_modules/ajv/dist/compile/codegen/index.js:153:18
      1    0.0%    0.0%  JS: ^newAsyncId node:internal/async_hooks:417:20
      1    0.0%    0.0%  JS: ^n /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:25:13422
      1    0.0%    0.0%  JS: ^maybeReadMore_ node:internal/streams/readable:862:24
      1    0.0%    0.0%  JS: ^maybeReadMore node:internal/streams/readable:855:23
      1    0.0%    0.0%  JS: ^maxWireVersion /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/utils.js:373:24
      1    0.0%    0.0%  JS: ^isBsonType /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/isBsonType.js:8:20
      1    0.0%    0.0%  JS: ^getEncodingOps node:buffer:710:24
      1    0.0%    0.0%  JS: ^get snapshotEnabled /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/sessions.js:104:24
      1    0.0%    0.0%  JS: ^get hello /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/connection.js:75:14
      1    0.0%    0.0%  JS: ^formatProperty node:internal/util/inspect:1936:24
      1    0.0%    0.0%  JS: ^destroyHooksExist node:internal/async_hooks:486:27
      1    0.0%    0.0%  JS: ^asyncGeneratorStep /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:25:14141
      1    0.0%    0.0%  JS: ^addChunk node:internal/streams/readable:548:18
      1    0.0%    0.0%  JS: ^addCatch node:events:366:18
      1    0.0%    0.0%  JS: ^_traverse /Users/richardwilding/code/cc-vf/node_modules/yahoo-finance2/node_modules/json-schema-traverse/index.js:67:19
      1    0.0%    0.0%  JS: ^_next /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:25:14425
      1    0.0%    0.0%  JS: ^_changeState /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/statemachine.js:67:60
      1    0.0%    0.0%  JS: ^_callee44$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:4075:621
      1    0.0%    0.0%  JS: ^_advanceClusterTime /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/sdam/common.js:45:29
      1    0.0%    0.0%  JS: ^Timestamp /Users/richardwilding/code/cc-vf/node_modules/bson/lib/timestamp.js:29:23
      1    0.0%    0.0%  JS: ^Socket._read node:net:705:34
      1    0.0%    0.0%  JS: ^Query.cast /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/query.js:5335:32
      1    0.0%    0.0%  JS: ^Module.load node:internal/modules/cjs/loader:1199:33
      1    0.0%    0.0%  JS: ^Module._load node:internal/modules/cjs/loader:955:24
      1    0.0%    0.0%  JS: ^Module._findPath node:internal/modules/cjs/loader:615:28
      1    0.0%    0.0%  JS: ^Long.toNumber /Users/richardwilding/code/cc-vf/node_modules/bson/lib/long.js:734:40
      1    0.0%    0.0%  JS: ^Long.negate /Users/richardwilding/code/cc-vf/node_modules/bson/lib/long.js:613:38
      1    0.0%    0.0%  JS: ^Long.isZero /Users/richardwilding/code/cc-vf/node_modules/bson/lib/long.js:505:38
      1    0.0%    0.0%  JS: ^Long.greaterThanOrEqual /Users/richardwilding/code/cc-vf/node_modules/bson/lib/long.js:477:50
      1    0.0%    0.0%  JS: ^Long.eq /Users/richardwilding/code/cc-vf/node_modules/bson/lib/long.js:436:34
      1    0.0%    0.0%  JS: ^Long.comp /Users/richardwilding/code/cc-vf/node_modules/bson/lib/long.js:311:36
      1    0.0%    0.0%  JS: ^Document /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:79:18
      1    0.0%    0.0%  JS: ^ConnectionCheckedInEvent /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/connection_pool_events.js:140:16
      1    0.0%    0.0%  JS: ^<anonymous> node:internal/validators:93:3
      1    0.0%    0.0%  JS: ^<anonymous> /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:5305:18
      1    0.0%    0.0%  JS: ^<anonymous> /Users/richardwilding/code/cc-vf/node_modules/compromise/builds/three/compromise-three.cjs:1:156987
      1    0.0%    0.0%  JS: ^<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:25:6073
      1    0.0%    0.0%  JS: ^<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:25:5286
      1    0.0%    0.0%  JS: *write node:buffer:660:12
      1    0.0%    0.0%  JS: *write node:buffer:1083:40
      1    0.0%    0.0%  JS: *tryExtensions node:internal/modules/cjs/loader:492:23
      1    0.0%    0.0%  JS: *toString node:buffer:815:46
      1    0.0%    0.0%  JS: *shardingPluginPostInit /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/plugins/sharding.js:11:54
      1    0.0%    0.0%  JS: *reportModuleToWatchMode node:internal/modules/cjs/loader:234:33
      1    0.0%    0.0%  JS: *read /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/utils.js:839:9
      1    0.0%    0.0%  JS: *pushMany /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/utils.js:740:13
      1    0.0%    0.0%  JS: *noop node:internal/util/debuglog:46:14
      1    0.0%    0.0%  JS: *nextTick node:internal/process/task_queues:103:18
      1    0.0%    0.0%  JS: *next /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cursor/abstract_cursor.js:501:14
      1    0.0%    0.0%  JS: *nativeAsyncIterator /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cursor/abstract_cursor.js:155:44
      1    0.0%    0.0%  JS: *idGetter /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/schema/idGetter.js:26:18
      1    0.0%    0.0%  JS: *hasHooks node:internal/async_hooks:470:18
      1    0.0%    0.0%  JS: *getPositionalPath /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/schema.js:1671:27
      1    0.0%    0.0%  JS: *get node:internal/bootstrap/node:409:8
      1    0.0%    0.0%  JS: *get length /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/utils.js:809:15
      1    0.0%    0.0%  JS: *get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/types/DocumentArray/index.js:74:18
      1    0.0%    0.0%  JS: *fn node:internal/util:415:14
      1    0.0%    0.0%  JS: *ctor.<computed> /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/statemachine.js:49:37
      1    0.0%    0.0%  JS: *copy node:buffer:807:16
      1    0.0%    0.0%  JS: *c /Users/richardwilding/code/cc-vf/node_modules/compromise/builds/three/compromise-three.cjs:1:4715
      1    0.0%    0.0%  JS: *basename node:path:1309:11
      1    0.0%    0.0%  JS: *_write /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/message_stream.js:31:11
      1    0.0%    0.0%  JS: *Writable.write node:internal/streams/writable:496:36
      1    0.0%    0.0%  JS: *Socket._read node:net:705:34
      1    0.0%    0.0%  JS: *SchemaString.cast /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/schema/string.js:586:39
      1    0.0%    0.0%  JS: *Readable.read node:internal/streams/readable:645:35
      1    0.0%    0.0%  JS: *Module._extensions..js node:internal/modules/cjs/loader:1391:37
      1    0.0%    0.0%  JS: *Module node:internal/modules/cjs/loader:258:16
      1    0.0%    0.0%  JS: *Model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:117:15
      1    0.0%    0.0%  JS: *Mixed.cast /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/schema/mixed.js:106:32
      1    0.0%    0.0%  JS: *Kareem.execPreSync /Users/richardwilding/code/cc-vf/node_modules/kareem/index.js:157:40
      1    0.0%    0.0%  JS: *<anonymous> /Users/richardwilding/code/cc-vf/node_modules/compromise/builds/three/compromise-three.cjs:1:185135
      1    0.0%    0.0%  JS: *<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:574:51
      1    0.0%    0.0%  Builtin: WeakMapLookupHashIndex
      1    0.0%    0.0%  Builtin: TypedArrayPrototypeByteOffset
      1    0.0%    0.0%  Builtin: TypedArrayConstructor
      1    0.0%    0.0%  Builtin: ToString
      1    0.0%    0.0%  Builtin: SuspendGeneratorBaseline
      1    0.0%    0.0%  Builtin: StringSlowFlatten
      1    0.0%    0.0%  Builtin: StringPrototypeTrim
      1    0.0%    0.0%  Builtin: StringPrototypeStartsWith
      1    0.0%    0.0%  Builtin: StringPrototypeSlice
      1    0.0%    0.0%  Builtin: StringPrototypeReplace
      1    0.0%    0.0%  Builtin: StringPrototypeIncludes
      1    0.0%    0.0%  Builtin: StringPrototypeEndsWith
      1    0.0%    0.0%  Builtin: StoreFastElementIC_Standard
      1    0.0%    0.0%  Builtin: ShiftRightLogicalSmi_Baseline
      1    0.0%    0.0%  Builtin: ShiftLeftSmi_Baseline
      1    0.0%    0.0%  Builtin: SetConstructor
      1    0.0%    0.0%  Builtin: ReturnReceiver
      1    0.0%    0.0%  Builtin: ResumeGeneratorTrampoline
      1    0.0%    0.0%  Builtin: RegExpStringIteratorPrototypeNext
      1    0.0%    0.0%  Builtin: RegExpReplace
      1    0.0%    0.0%  Builtin: RegExpPrototypeTest
      1    0.0%    0.0%  Builtin: PromisePrototypeThen
      1    0.0%    0.0%  Builtin: PromiseConstructor
      1    0.0%    0.0%  Builtin: ObjectValues
      1    0.0%    0.0%  Builtin: ObjectGetPrototypeOf
      1    0.0%    0.0%  Builtin: ObjectAssign
      1    0.0%    0.0%  Builtin: NumberIsNaN
      1    0.0%    0.0%  Builtin: NewRestArgumentsElements
      1    0.0%    0.0%  Builtin: Multiply_Baseline
      1    0.0%    0.0%  Builtin: MapConstructor
      1    0.0%    0.0%  Builtin: LessThanOrEqual_Baseline
      1    0.0%    0.0%  Builtin: KeyedStoreICBaseline
      1    0.0%    0.0%  Builtin: KeyedLoadICBaseline
      1    0.0%    0.0%  Builtin: JSEntry
      1    0.0%    0.0%  Builtin: InstanceOf_Baseline
      1    0.0%    0.0%  Builtin: GreaterThanOrEqual_Baseline
      1    0.0%    0.0%  Builtin: GreaterThanOrEqual
      1    0.0%    0.0%  Builtin: GlobalIsNaN
      1    0.0%    0.0%  Builtin: FunctionPrototypeCall
